,Artist,Name,Genre,Unnamed: 0,Weekly_rank_avg,Peak_Position,Weeks_on_Chart
143,"TYLER, THE CREATOR",NEW MAGIC WAND,"EXPERIMENTAL,PSYCHEDELIC SOUL,HIP-HOP,RAP,PSYCHEDELIC,ALTERNATIVE",0.022146507666098807,0.5281791435109513,0.3755102040816326,0.11294117647058821
144,"TYLER, THE CREATOR",A BOY IS A GUN,"RAP,NEO SOUL,ALTERNATIVE R&;B,EXPERIMENTAL,ALTERNATIVE,WEST COAST,ALTERNATIVE POP,R&;B",0.02230137834907852,0.2578527062999113,0.36938775510204075,0.1811764705882353
145,"TYLER, THE CREATOR",WHAT'S GOOD,"RAP,HARDCORE HIP-HOP,EXPERIMENTAL,ALTERNATIVE,WEST COAST",0.022456249032058232,0.7888198757763976,0.5061224489795918,0.12470588235294118
146,LADY ANTEBELLUM,WHAT IF I NEVER GET OVER YOU,"BALLAD,COUNTRY",0.022611119715037944,0.7923395445134576,0.5061224489795918,0.12470588235294118
147,"TYLER, THE CREATOR",PUPPET,"RAP,NEO-PSYCHEDELIA,PSYCHEDELIC,EXPERIMENTAL,SOUL,ALTERNATIVE,WEST COAST",0.022765990398017657,0.5354037267080746,0.34285714285714286,0.08941176470588236
148,DJ KHALED,WEATHER THE STORM,"ATLANTA,TRAP,RAP",0.02292086108099737,1.0,0.4244897959183673,0.12941176470588234
149,BRETT YOUNG,HERE TONIGHT,COUNTRY,0.023075731763977078,0.35590062111801246,0.4183673469387755,0.21176470588235294
150,DEAN LEWIS,BE ALRIGHT,"ROCK,ALTERNATIVE POP,ALTERNATIVE ROCK,INDIE POP,INDIE ROCK,SINGER-SONGWRITER,ALTERNATIVE,INDIE,AUSTRALIA,POP",0.02323060244695679,0.5087073713816946,0.22448979591836732,0.3176470588235294
151,"LIL BABY, GUNNA",DRIP TOO HARD,"HIP-HOP,ATLANTA,MEMES,MOTOWN,TRAP,RAP",0.023385473129936503,0.1969597907813011,0.030612244897959183,0.388235294117647
152,ARIANA GRANDE,"THANK U, NEXT","DREAM-POP,MEMES,R&;B,POP",0.023540343812916215,0.9260869565217392,0.0,0.3058823529411765
153,PINKFONG,BABY SHARK,"ALTERNATIVE ROCK,MEMES,CHILDREN&#39;S MUSIC,POP",0.023695214495895928,0.4233609385783299,0.31632653061224486,0.21176470588235294
154,OLD DOMINION,MAKE IT SWEET,COUNTRY,0.02385008517887564,0.32486354225484665,0.5612244897959183,0.21176470588235294
155,ELLA MAI,SHOT CLOCK,"UK,R&;B",0.024004955861855352,0.9366459627329193,0.6224489795918366,0.16470588235294117
156,"LAUV, TROYE SIVAN",I'M SO TIRED...,POP,0.02415982654483506,0.4535714285714286,0.8163265306122448,0.047058823529411764
